"GID_1","GID_0","COUNTRY","province","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","hist_tmean","hist_tmax","hist_prec","temp_change_ssp245_4560","tmax_change_ssp245_4560","prec_change_ssp245_4560","wet_prec_change_ssp245_4560","dry_prec_change_ssp245_4560","wet_temp_change_ssp245_4560","dry_temp_change_ssp245_4560","temp_change_ssp245_6180","tmax_change_ssp245_6180","prec_change_ssp245_6180","wet_prec_change_ssp245_6180","dry_prec_change_ssp245_6180","wet_temp_change_ssp245_6180","dry_temp_change_ssp245_6180","temp_change_ssp585_4560","tmax_change_ssp585_4560","prec_change_ssp585_4560","wet_prec_change_ssp585_4560","dry_prec_change_ssp585_4560","wet_temp_change_ssp585_4560","dry_temp_change_ssp585_4560","temp_change_ssp585_6180","tmax_change_ssp585_6180","prec_change_ssp585_6180","wet_prec_change_ssp585_6180","dry_prec_change_ssp585_6180","wet_temp_change_ssp585_6180","dry_temp_change_ssp585_6180"
"KHM.16_1","KHM","Cambodia","Phnom Penh","Phnum Pénh",NA,"Municipality","Municipality",NA,"KH.PP","KH-12",28,31.9,1296,1.71,1.59,2.61,3.18,-2.16,1.67,1.77,2.19,2.06,4.91,5.79,-2.38,2.14,2.26,2.07,1.92,4.41,5.25,-2.64,1.99,2.17,3.18,3.01,7.57,8.55,-0.59,3.06,3.34
"KHM.17_1","KHM","Cambodia","Pouthisat","Pursat",NA,"Khêt","Province",NA,"KH.PO","KH-15",26.3,30.4,1763,1.68,1.56,2.27,2.89,-2.76,1.65,1.72,2.17,2.05,3.71,4.55,-3.05,2.14,2.22,2.05,1.91,3.07,3.83,-3.09,1.99,2.14,3.18,3,5.26,6.07,-1.31,3.09,3.31
"KHM.18_1","KHM","Cambodia","Preah Vihéar",NA,NA,"Khêt","Province",NA,"KH.PH","KH-13",26.8,31.5,1646,1.78,1.65,2.32,2.7,-2.75,1.73,1.86,2.33,2.2,3.07,3.53,-3.07,2.25,2.43,2.17,2.02,3.13,3.64,-3.54,2.09,2.3,3.35,3.17,4.32,4.71,-0.93,3.23,3.52
"KHM.19_1","KHM","Cambodia","Prey Vêng","Prey Veaeng",NA,"Khêt","Province",NA,"KH.PY","KH-14",27.8,31.7,1413,1.69,1.55,1.8,2.43,-3.36,1.66,1.73,2.16,2.03,3.7,4.62,-3.88,2.13,2.21,2.06,1.91,3.03,3.98,-4.74,2.01,2.13,3.17,3,5.65,6.64,-2.41,3.07,3.31
"KHM.20_1","KHM","Cambodia","Rôtânôkiri","Ratana Kiri|Râtanakiri|Rotanah K",NA,"Khêt","Province",NA,"KH.RO","KH-16",25.9,29.7,2376,1.75,1.68,3.12,3.28,-0.92,1.71,1.8,2.27,2.23,4.98,5.29,-2.89,2.22,2.34,2.15,2.09,3.18,3.43,-3.09,2.09,2.23,3.29,3.23,5.1,5.33,-0.76,3.21,3.4
"KHM.21_1","KHM","Cambodia","Siemréab","Siem Reap|Siem Reab|Siem Réab|Si",NA,"Khêt","Province",NA,"KH.SI","KH-17",27.2,31.7,1320,1.72,1.56,2.86,3.34,-2.48,1.69,1.77,2.25,2.08,4.19,4.8,-2.42,2.21,2.3,2.13,1.96,3.47,4.04,-2.85,2.06,2.23,3.3,3.09,5.4,5.92,-0.25,3.19,3.44
"KHM.22_1","KHM","Cambodia","Stœng Trêng","Stung Treng|Stueng Traeng|Stung",NA,"Khêt","Province",NA,"KH.ST","KH-19",26.7,30.8,2022,1.77,1.68,3.52,3.8,-1.4,1.7,1.85,2.31,2.24,4.66,5.08,-2.58,2.23,2.42,2.17,2.07,3.78,4.21,-3.51,2.08,2.29,3.33,3.22,5.7,6.08,-0.83,3.21,3.49
"KHM.23_1","KHM","Cambodia","Svay Rieng","Soairieng|Svaay Rieng",NA,"Khêt","Province",NA,"KH.SR","KH-20",27.7,31.7,1540,1.68,1.56,2.24,2.89,-3.02,1.65,1.71,2.15,2.03,4.01,4.95,-3.52,2.11,2.2,2.04,1.9,3.17,4.09,-4.22,1.98,2.11,3.14,3,5.58,6.6,-2.59,3.05,3.27
"KHM.24_1","KHM","Cambodia","Takêv","Takeo|Taakaev|Takaev|Takeo",NA,"Khêt","Province",NA,"KH.TA","KH-21",27.7,31.4,1376,1.72,1.64,1.15,1.98,-3.92,1.65,1.81,2.17,2.09,3.48,4.67,-3.8,2.11,2.27,2.05,1.94,2.93,4.07,-4.03,1.97,2.16,3.13,3.01,5.33,6.62,-2.53,3.01,3.29
"KHM.25_1","KHM","Cambodia","Tbong Khmum",NA,NA,"Khêt","Province",NA,"KH.TB","KH-25",27.1,31.2,2011,1.73,1.6,1.58,2.21,-4.5,1.71,1.76,2.23,2.1,2.99,3.87,-5.5,2.2,2.28,2.11,1.96,2.02,2.93,-6.75,2.06,2.19,3.25,3.08,4.35,5.22,-4.09,3.15,3.38
