"month","ssp","year","tmean_mean","tmean_min","tmean_max","tmax_mean","tmax_min","tmax_max","prec_mean","prec_min","prec_max"
"Jan","245","2041-2060",26.3122358031784,25.6475607073418,27.3876971546873,31.2343473487475,30.6664697946912,32.2997045092677,5.62166004733091,5.39123694182128,6.10571026004642
"Feb","245","2041-2060",27.8969686247834,27.2107830459027,28.8516561270381,32.947879987513,32.3295968401563,33.8846794646978,12.6669107689221,11.8787772392126,13.476003957922
"Mar","245","2041-2060",29.6930035511299,29.0705511084034,30.4581702728138,34.4482020124412,33.9126334277406,35.1317946893018,37.7656326519445,34.5854122303438,40.8399002311828
"Apr","245","2041-2060",30.8803796087583,30.2287327917319,31.5331576360566,35.4963745769544,34.8729739703128,36.134422059056,76.8244935182188,67.2651762141655,84.0412526731933
"May","245","2041-2060",30.4556079810684,29.6385491603234,31.3093897995989,34.6697756956345,33.8001130824925,35.7099317347676,190.248362341375,160.377876675163,215.411915716325
"Jun","245","2041-2060",29.4462878426812,28.7073812067756,30.2315046717609,33.2095093871472,32.4220129497746,34.0815208627805,248.61883843197,240.436657288641,263.673918297182
"Jul","245","2041-2060",28.8166891016104,28.1286265192333,29.5965256444784,32.3344637163757,31.6147605304224,33.1832057322145,298.631319565723,281.746939222186,312.325703237927
"Aug","245","2041-2060",28.673978965268,28.1076280808501,29.3500713533299,32.1219699749861,31.5898885307073,32.8878138646885,298.098981792647,288.218223768507,304.660412116348
"Sep","245","2041-2060",28.4044124219657,27.8723407862764,29.1441107816268,31.6808131485512,31.2181320735394,32.4915351811753,340.185393079108,318.353148782301,358.006611736059
"Oct","245","2041-2060",27.9012266656657,27.4689421628808,28.4303184532055,31.2063646499978,30.6590213719277,31.8031093168277,226.201230238889,202.646012211193,236.4926928917
"Nov","245","2041-2060",27.3004626199013,26.8846151721997,27.845552531908,30.9160910074374,30.3664260609379,31.4300901461607,80.845833466328,74.736688751385,86.8049537862449
"Dec","245","2041-2060",26.2411107171782,25.672854947614,27.0540869493526,30.5015318930603,30.0380758475651,31.2715307468097,18.2038612538587,17.3556794812751,19.343787476004
"Jan","245","2061-2080",26.7974432068521,26.0158775044427,27.801921270174,31.7286422010167,31.0443400992436,32.7170828948632,5.63830247096536,5.38884303738595,6.21062255194773
"Feb","245","2061-2080",28.4017225034354,27.4669280777181,29.5033676359306,33.4496867713037,32.6055036778571,34.5226253443214,12.4696138290159,11.4443223426521,13.5565805013064
"Mar","245","2061-2080",30.2450839224404,29.329633113147,31.0928429179925,34.9823881605154,34.1434851650002,35.6753582995218,37.9411920276143,34.6416256663034,41.0388131705782
"Apr","245","2061-2080",31.4085480147095,30.5042021002748,32.0990622742046,36.0358025941558,35.1398181626363,36.6370352953558,75.5161677465836,64.9633573027765,85.168129608266
"May","245","2061-2080",31.0598953905054,30.0175518686184,32.2156720981254,35.3175666032721,34.2065027525658,36.773029589325,184.195649021691,141.866237739789,217.55832691159
"Jun","245","2061-2080",30.0515864029398,29.1057041106002,31.1658501540894,33.8647691945636,32.8883355212651,35.1659372414657,250.162542919287,237.101442270425,267.065652259162
"Jul","245","2061-2080",29.2736985429221,28.4082778566305,30.237262144877,32.7843696477835,31.8996871183292,33.8644352440269,302.682179775383,281.697063933208,322.437017514261
"Aug","245","2061-2080",29.0986132541329,28.3375015156597,30.0028834038621,32.541276437856,31.8302607107872,33.578347248771,305.785769720073,289.862694761225,314.44925150588
"Sep","245","2061-2080",28.8576273978254,28.1899501058739,29.76931560358,32.130875738814,31.6107651639894,33.1077015262355,345.491841117703,318.894312539043,367.369026068479
"Oct","245","2061-2080",28.390339638786,27.7551942813959,29.0930289499216,31.6801882780203,31.0464316713828,32.4269695049333,237.073335552445,204.578043564501,266.414861358735
"Nov","245","2061-2080",27.769865364146,27.2932124806147,28.5106111311269,31.3580519019481,30.7047171316643,32.0431399317893,83.1753313847711,70.0306465365903,91.9493313026944
"Dec","245","2061-2080",26.7680471939517,26.0111457947711,27.6464414953881,31.0283787180326,30.387530253861,31.8350038523528,18.4408276981583,16.9672103489629,20.2325689558473
"Jan","585","2041-2060",26.7145491312043,25.9364985894521,27.8761432502088,31.6312313469171,30.8993237503637,32.8319902927828,5.54532504662414,5.29956636131086,6.13797097219879
"Feb","585","2041-2060",28.3339166403455,27.5805785676142,29.5543867631505,33.3556457181612,32.7078788711595,34.5657990712146,12.7535418386098,11.4442858641083,13.4767745671593
"Mar","585","2041-2060",30.104263015812,29.3651472513261,30.9223116374204,34.8261953279704,34.1290610800626,35.5548523244853,39.0198944858121,34.8916860838915,42.5898899715923
"Apr","585","2041-2060",31.2802249363918,30.3504498049236,32.001168450868,35.9117467228631,34.8782788264814,36.7091588351326,73.9684086691259,62.3206281605238,85.2638994651333
"May","585","2041-2060",30.8610663988323,29.8303946027179,31.8457741812879,35.0841016438908,33.9237028608285,36.2893446210818,187.011104980689,149.719739907983,214.526590578504
"Jun","585","2041-2060",29.8453740134706,28.8617602016761,30.8479102271333,33.6293043053739,32.5051448178188,34.8144195149979,248.305344562645,230.59652906656,265.729744148614
"Jul","585","2041-2060",29.1413309960049,28.2710362225451,30.039607712998,32.6343136900308,31.6731225429775,33.6472912261834,300.828102158162,282.887153624827,317.632606346355
"Aug","585","2041-2060",29.0022415379632,28.3217320494013,29.7968003720092,32.4457211596433,31.7634219696173,33.3706479888734,298.618592201799,290.179492674652,303.605785497043
"Sep","585","2041-2060",28.6922114899315,27.9944600131103,29.5435013400667,31.9265180258068,31.3418047747806,32.8746049625259,347.595630782419,325.305544282672,365.488789687516
"Oct","585","2041-2060",28.2919922561302,27.6554585386153,28.9502001828893,31.570749728436,30.9031380428547,32.3965678254316,234.649791388328,216.905557050163,247.386508410584
"Nov","585","2041-2060",27.6181932866218,27.2607515815032,28.3354268125892,31.1927169238525,30.756742366102,31.9212058741434,81.2878394214503,72.008166633988,86.7011996881084
"Dec","585","2041-2060",26.6802044431089,25.8133215103945,27.6512375110274,30.8860345146412,30.079176214795,31.7926089416875,18.4118582626182,16.7579329433169,20.1993461221028
"Jan","585","2061-2080",27.8526897788539,26.8488828277322,29.4887028205472,32.7381445855373,31.8691108549952,34.4057622410668,5.59985499778849,5.16751403283981,6.2728047896328
"Feb","585","2061-2080",29.5568842225459,28.5471323177939,31.3253238483223,34.5367697293629,33.654482981129,36.2610801223095,12.7101661141687,11.4944165028932,13.7555481585175
"Mar","585","2061-2080",31.3868835472197,30.4780535997793,32.5413773815726,36.0851785842352,35.2916938324946,37.0789222371573,38.4552148358238,34.2578485866844,43.4078711577834
"Apr","585","2061-2080",32.457979902833,31.3566092153078,33.582528146307,37.0149887533421,35.9319702440784,38.0730943423113,77.4227297806272,60.2214065214517,87.4323482606574
"May","585","2061-2080",32.1124064411772,30.7451449436768,33.5469323893753,36.3423023416919,34.8809377010373,38.0434026128689,180.10716757787,130.161709384561,216.331138540949
"Jun","585","2061-2080",31.0488801597575,29.6632198330966,32.5567218662828,34.8675068342575,33.3409941261551,36.6861623238738,252.873605493669,221.625269599238,272.640677224165
"Jul","585","2061-2080",30.1895670434351,29.1120878555437,31.3965605353786,33.6917803798032,32.582346201679,35.0713346939203,302.774449515975,280.007852006548,311.278057699937
"Aug","585","2061-2080",30.0484717761569,29.1284443883773,31.1957108110426,33.5182647140441,32.6360937283246,34.8990210283738,298.136563812373,289.165959134911,308.144947493696
"Sep","585","2061-2080",29.7392586092418,28.7853301295622,31.0255242668482,32.9571782626389,32.0524045553911,34.3864472873779,360.057257634275,320.206308964146,389.019438504015
"Oct","585","2061-2080",29.3477402265995,28.468436646155,30.4420900827672,32.585431347669,31.8208409925986,33.8151696028452,249.89473021837,223.10941283224,280.083859612324
"Nov","585","2061-2080",28.700525456026,28.1278668413249,29.8906573737874,32.2317874546071,31.3287961044002,33.4662883245343,85.7184057052443,73.1507065437948,95.6292092819655
"Dec","585","2061-2080",27.761900014626,26.775677219213,29.1424523501659,31.9298264643038,31.0499778233504,33.297156946034,18.7422553771653,16.5931137628986,20.6050468065315
