"gcm","ssp","year","temp_anomaly","prec_anomaly_pct"
"ACCESS-CM2","245","2041-2060",2.488145744033,1.41511996637048
"MIROC6","245","2041-2060",1.13498962497854,5.64496352408598
"EC-Earth3-Veg","245","2041-2060",1.53707919402606,2.88882059375934
"MRI-ESM2-0","245","2041-2060",1.61781826810196,-0.0950581787833742
"IPSL-CM6A-LR","245","2041-2060",1.84191360874618,2.05820566006951
"ACCESS-CM2","245","2061-2080",3.15031388598453,3.72914428246532
"MIROC6","245","2061-2080",1.44066590648369,7.86874343620422
"EC-Earth3-Veg","245","2061-2080",2.12574268864363,3.96837768961648
"MRI-ESM2-0","245","2061-2080",2.01180263806207,0.280721221888482
"IPSL-CM6A-LR","245","2061-2080",2.43313254131945,2.94863868255858
"ACCESS-CM2","585","2041-2060",3.002497999515,0.528684846226218
"MIROC6","585","2041-2060",1.32559137381716,6.54659016401571
"EC-Earth3-Veg","585","2041-2060",1.89576738230738,5.09889435764141
"MRI-ESM2-0","585","2041-2060",2.01353005196195,-0.260681306811108
"IPSL-CM6A-LR","585","2041-2060",2.2755614000433,3.92962056564343
"ACCESS-CM2","585","2061-2080",4.56667411874449,2.85707564539852
"MIROC6","585","2061-2080",2.22615064343452,6.39966337076763
"EC-Earth3-Veg","585","2061-2080",3.02599569406733,8.70541313635513
"MRI-ESM2-0","585","2061-2080",2.86972906881775,1.61722723078534
"IPSL-CM6A-LR","585","2061-2080",3.50673994618944,5.89309439591436
